userId,itemId,rating,group
17316,42707,145,1
16077,40814,336,1
17152,54761,110,1
8834,66087,262,1
2835,54271,44,1
13994,64520,6,1
14384,64986,77,1
4602,33057,187,1
13496,38346,197,1
16058,1025,126,1
6939,65228,825,1
6506,28749,565,1
15080,54916,79,1
19051,17137,368,1
17768,45287,88,1
20870,29697,1291,1
19695,7057,12,1
1195,9278,182,1
8818,8425,41,1
14314,7619,1434,1
1418,50328,48,1
1397,28274,49,1
12204,16395,26,1
10208,938,142,1
2457,59800,50,1
2319,38888,71,1
8065,2171,123,1
9373,20745,6394,1
7283,6097,1021,1
5298,34028,100,1
11199,59462,77,1
4793,8666,240,1
19836,32448,72,1
17683,33645,38,1
13848,63618,237,1
2263,35027,433,1
9554,22337,30,1
17052,27364,2082,1
16255,26863,246,1
3648,63599,951,1
3928,15369,450,1
4034,25716,40,1
19876,67922,141,1
1431,22291,74,1
20944,59105,32,1
16592,14741,70,1
10604,67776,382,1
8698,15241,379,1
12519,40926,84,1
6753,14613,153,1
13160,1025,16,1
18907,32145,51,1
6240,33285,79,1
16911,10418,70,1
73,1468,80,1
6415,59524,158,1
10828,42707,37,1
10878,24193,101,1
15853,34926,391,1
19097,65070,64,1
8842,30402,244,1
10128,5717,25,1
10758,66790,98,1
18285,8744,128,1
13495,9301,12,1
14039,1184,483,1
17504,26909,88,1
11793,26618,158,1
16318,45094,510,1
17204,3342,6,1
6653,9336,366,1
7471,56471,28,1
16529,23433,67,1
7805,6572,103,1
20890,64194,372,1
17114,39074,640,1
19143,2004,87,1
434,213,663,1
8950,38311,35,1
15094,69,127,1
8793,36231,21,1
11087,51872,1,1
7434,28541,44,1
15324,6356,424,1
13656,51611,292,1
2986,34926,184,1
18353,2693,619,1
6816,64020,7,1
2754,14088,128,1
3345,32037,530,1
14326,6239,46,1
9695,41845,6,1
5645,5376,555,1
19296,27004,49,1
9335,61561,259,1
16685,58981,32,1
6567,64549,39,1
3026,66055,284,1
1646,11754,50,1
6491,23843,114,1
2855,57040,7,1
20646,5882,29,1
12941,61709,2826,1
4503,20044,52,1
18743,1954,273,1
20848,29659,31,1
15298,3146,126,1
5061,33650,130,1
18927,43342,10,1
20915,49323,157,1
20,56664,5,1
9698,12365,589,1
11734,63296,169,1
12764,20092,56,1
11133,64973,77,1
4901,28910,28,1
17368,49946,3,1
19761,47556,152,1
5623,53591,313,1
8031,13761,22,1
6830,5399,19,1
16435,55660,120,1
6025,22624,47,1
13994,965,6,1
8241,24508,70,1
10348,48789,87,1
15742,20540,189,1
15976,35131,327,1
18054,22198,290,1
12712,54459,82,1
9280,64553,153,1
12968,39101,31,1
15647,4850,148,1
18348,49136,206,1
8291,17363,121,1
6938,52047,62,1
81,12868,103,1
18835,15500,311,1
10733,63621,130,1
1783,4456,59,1
6038,59524,52,1
18153,48452,207,1
13689,28775,96,1
21202,62850,299,1
11238,5314,31,1
12358,8371,50,1
20023,63588,242,1
13583,39760,2,1
13976,27607,365,1
11350,24118,78,1
9930,49232,31,1
9453,43664,149,1
20523,37635,88,1
